Biscayne Bay: Turtle Mound- Mosquito Lagoon,8721223,28.9267,-80.825,Harmonic
Biscayne Bay: Cape Canaveral,TEC3693,28.4333,-80.5667,Subordinate
Biscayne Bay: PORT CANAVERAL (TRIDENT PIER),8721604,28.4158,-80.5931,Harmonic
Biscayne Bay: Cocoa Beach,8721649,28.3683,-80.6,Harmonic
Biscayne Bay: Patrick Air Force Base,8721727,28.245,-80.6,Subordinate
Biscayne Bay: Canova Beach,8721804,28.1383,-80.5783,Subordinate
Biscayne Bay: Sebastian Inlet bridge,8722004,27.86,-80.4483,Subordinate
Biscayne Bay: Vero Beach (ocean),8722105,27.67,-80.36,Subordinate
Biscayne Bay: Fort Pierce Inlet- south jetty,8722212,27.47,-80.2883,Subordinate
Biscayne Bay: Fort Pierce Inlet- Binney Dock,8722213,27.4683,-80.3,Harmonic
Biscayne Bay: Seminole Shores,8722366,27.1833,-80.1583,Subordinate
Biscayne Bay: Great Pocket,8722381,27.155,-80.1717,Subordinate
Biscayne Bay: Peck Lake- ICWW,8722404,27.1133,-80.145,Subordinate
Biscayne Bay: Gomez- South Jupiter Narrows,8722414,27.0933,-80.1367,Subordinate
Biscayne Bay: Hobe Sound bridge,8722429,27.065,-80.1233,Subordinate
Biscayne Bay: Hobe Sound- Jupiter Island,8722445,27.0367,-80.1067,Subordinate
Biscayne Bay: Conch Bar- Jupiter Sound,8722471,26.9883,-80.0933,Subordinate
Biscayne Bay: Jupiter Sound- south end,8722491,26.9517,-80.08,Subordinate
Biscayne Bay: Jupiter Inlet- south jetty,8722495,26.9433,-80.0733,Subordinate
Biscayne Bay: Jupiter Inlet- U.S. Highway 1 Bridge,TEC3783,26.9483,-80.085,Subordinate
Biscayne Bay: Jupiter- Lake Worth Creek- ICWW,8722499,26.935,-80.085,Subordinate
Biscayne Bay: Lake Worth Creek- Day Beacon 19- ICWW,8722512,26.9117,-80.08,Subordinate
Biscayne Bay: Donald Ross Bridge- ICWW,8722528,26.8817,-80.07,Subordinate
Biscayne Bay: PGA Boulevard Bridge- ICWW,8722548,26.8433,-80.0667,Harmonic
Biscayne Bay: Lake Worth Pier (ocean),8722670,26.6128,-80.0342,Harmonic
Biscayne Bay: Ocean Ridge- ICWW,8722718,26.5267,-80.0533,Harmonic
Biscayne Bay: Delray Beach- ICWW,8722746,26.4733,-80.0617,Subordinate
Biscayne Bay: South Delray Beach- ICWW,8722761,26.4467,-80.065,Harmonic
Biscayne Bay: Yamato- ICWW,8722784,26.4033,-80.07,Subordinate
Biscayne Bay: Lake Wyman- ICWW,8722802,26.37,-80.07,Harmonic
Biscayne Bay: Boca Raton- Lake Boca Raton,8722816,26.3433,-80.0767,Harmonic
Biscayne Bay: Deerfield Beach- Hillsboro River,8722832,26.3133,-80.0817,Subordinate
Biscayne Bay: Hillsboro Beach- ICWW,8722854,26.2733,-80.08,Subordinate
Biscayne Bay: Hillsboro Inlet Marina,8722859,26.26,-80.085,Harmonic
Biscayne Bay: Hillsboro Inlet- Coast Guard Light Station,8722861,26.2583,-80.0817,Subordinate
Biscayne Bay: Hillsboro Inlet (ocean),8722862,26.2567,-80.08,Subordinate
Biscayne Bay: Lauderdale-by-the-Sea- Anglin Fishing Pier,8722899,26.1883,-80.0933,Harmonic
Biscayne Bay: Mayan Lake,8722946,26.1,-80.1083,Subordinate
Biscayne Bay: Port Everglades- Turning Basin,8722951,26.0917,-80.1233,Subordinate
Biscayne Bay: South Port Everglades- ICWW,8722956,26.0817,-80.1167,Subordinate
Biscayne Bay: Whiskey Creek- north end,8722957,26.08,-80.1117,Subordinate
Biscayne Bay: Port Laudania- Dania cut-off Canal,8722968,26.06,-80.13,Subordinate
Biscayne Bay: Whiskey Creek- south entrance- ICWW,8722971,26.055,-80.1133,Subordinate
Biscayne Bay: Hollywood Beach- West Lake- north end,8722977,26.0433,-80.1267,Subordinate
Biscayne Bay: Hollywood Beach- West Lake- south end,8722982,26.0333,-80.1233,Subordinate
Biscayne Bay: Hollywood Beach,8722979,26.04,-80.115,Subordinate
Biscayne Bay: Golden Beach- ICWW,8723026,25.9667,-80.125,Subordinate
Biscayne Bay: Dumfoundling Bay,8723044,25.9417,-80.125,Subordinate
Biscayne Bay: Sunny Isles- Biscayne Creek,8723087,25.9283,-80.13,Subordinate
Biscayne Bay: Biscayne Creek- ICWW,8723089,25.88,-80.1633,Subordinate
Biscayne Bay: North Miami Beach- Newport Fishing Pier,8723050,25.93,-80.12,Subordinate
Biscayne Bay: Haulover Pier- N. Miami Beach,8723080,25.9033,-80.12,Harmonic
Biscayne Bay: Bakers Haulover Inlet (inside),8723073,25.9033,-80.125,Subordinate
Biscayne Bay: Indian Creek Golf Club- ICWW,8723094,25.875,-80.1433,Subordinate
Biscayne Bay: Miami Harbor Entrance,8723170,25.7683,-80.1317,Harmonic
Biscayne Bay: GOVERNMENT CUT- MIAMI HARBOR ENTRANCE,8723178,25.7633,-80.13,Harmonic
Florida Keys: Bear Cut- Virginia Key,8723214,25.7314,-80.1618,Harmonic
Florida Keys: Key Biscayne Yacht Club- Biscayne Bay,8723232,25.6983,-80.17,Subordinate
Florida Keys: Coral Shoal- Biscayne Channel,8723251,25.6517,-80.16,Subordinate
Florida Keys: Cutler- Biscayne Bay,8723289,25.615,-80.305,Harmonic
Florida Keys: Soldier Key,8723303,25.59,-80.1617,Subordinate
Florida Keys: Ragged Keys- Biscayne Bay,8723350,25.5333,-80.1717,Subordinate
Florida Keys: Boca Chita Key- Biscayne Bay,8723355,25.5233,-80.175,Harmonic
Florida Keys: Sands Key- northwest point- Biscayne Bay,8723372,25.5067,-80.1883,Subordinate
Florida Keys: Coon Point- Elliott Key- Biscayne Bay,8723391,25.48,-80.1883,Subordinate
Florida Keys: Elliott Key Harbor- Elliott Key- Biscayne Bay,8723409,25.4533,-80.1967,Harmonic
Florida Keys: Turkey Point- Biscayne Bay,8723423,25.4367,-80.33,Harmonic
Florida Keys: Billys Point- south of- Elliott Key- Biscayne Bay,8723439,25.415,-80.21,Subordinate
Florida Keys: Sea Grape Point- Elliott Key,8723393,25.4767,-80.18,Subordinate
Florida Keys: Christmas Point- Elliott Key,8723457,25.3917,-80.23,Subordinate
Florida Keys: Adams Key- south end- Biscayne Bay,8723453,25.3967,-80.2333,Subordinate
Florida Keys: Totten Key- west side- Biscayne Bay,8723467,25.3783,-80.2567,Subordinate
Florida Keys: East Arsenicker- Card Sound,8723465,25.3733,-80.29,Harmonic
Florida Keys: Card Sound- western side,8723491,25.345,-80.3317,Subordinate
Florida Keys: Pumpkin Key- south end- Card Sound,8723506,25.325,-80.2933,Harmonic
Florida Keys: Wednesday Point- Key Largo- Card Sound,8723518,25.31,-80.2983,Subordinate
Florida Keys: Cormorant Point- Key Largo- Card Sound,8723532,25.29,-80.34,Subordinate
Florida Keys: Little Card Sound bridge,8723534,25.2883,-80.37,Harmonic
Florida Keys: Ocean Reef Harbor- Key Largo,8723519,25.3083,-80.2767,Subordinate
Florida Keys: Main Key- Barnes Sound,8723571,25.24,-80.4,Subordinate
Florida Keys: Manatee Creek- Manatee Bay- Barnes Sound,8723575,25.235,-80.43,Subordinate
Florida Keys: Carysfort Reef,8723583,25.2217,-80.2117,Subordinate
Florida Keys: Garden Cove- Key Largo,8723622,25.1717,-80.3667,Subordinate
Florida Keys: Largo Sound- Key Largo,8723651,25.14,-80.395,Subordinate
Florida Keys: Key Largo- South Sound- Key Largo,8723667,25.1133,-80.4167,Subordinate
Florida Keys: Point Charles- Key Largo,8723691,25.0817,-80.45,Subordinate
Florida Keys: Rock Harbor- Key Largo,8723689,25.0817,-80.4467,Subordinate
Florida Keys: Tavernier Harbor- Hawk Channel,8723747,25.005,-80.5167,Subordinate
Florida Keys: Tavernier Creek- Hwy. 1 bridge- Hawk Channel,8723748,25.0033,-80.53,Subordinate
Florida Keys: Crane Keys- north side- Florida Bay,8723746,25.005,-80.6183,Subordinate
Florida Keys: East Key- southern end- Florida Bay,8723752,24.9967,-80.61,Subordinate
Florida Keys: Plantation Key- Hawk Channel,8723769,24.9733,-80.55,Subordinate
Florida Keys: Yacht Harbor- Cowpens Anchorage- Plantation Key,8723776,24.965,-80.5683,Subordinate
Florida Keys: Snake Creek- Hwy. 1 bridge- Windley Key,8723787,24.9517,-80.5883,Subordinate
Florida Keys: Snake Creek- USCG Station- Plantation Key,8723786,24.9533,-80.5867,Subordinate
Florida Keys: Whale Harbor- Windley Key- Hawk Channel,8723795,24.94,-80.6083,Subordinate
Florida Keys: Whale Harbor Channel- Hwy. 1 bridge- Windley Key,8723797,24.9383,-80.61,Subordinate
Florida Keys: Upper Matecumbe Key- Hawk Channel,8723814,24.915,-80.6317,Subordinate
Florida Keys: Alligator Reef- Hawk Channel,8723861,24.85,-80.6183,Subordinate
Florida Keys: Flamingo- Florida Bay,8723644,25.1417,-80.9233,Subordinate
Florida Keys: Upper Matecumbe Key- west end- Hawk Channel,8723828,24.8967,-80.6583,Subordinate
Florida Keys: Indian Key- Hawk Channel,8723843,24.8767,-80.6767,Subordinate
Florida Keys: Shell Key Channel- Florida Bay,8723812,24.9133,-80.66,Subordinate
Florida Keys: Lignumvitae Key- NE side- Florida Bay,8723824,24.9033,-80.695,Subordinate
Florida Keys: Lignumvitae Key- west side- Florida Bay,8723825,24.9,-80.705,Subordinate
Florida Keys: Little Basin- Upper Matecumbe Key- Florida Bay,8723813,24.915,-80.64,Subordinate
Florida Keys: Shell Key- northwest side- Lignumvitae Basin,8723807,24.9233,-80.6717,Subordinate
Florida Keys: Islamorada- Upper Matecumbe Key- Florida Bay,8723808,24.925,-80.6317,Subordinate
Florida Keys: Indian Key Anchorage- Lower Matecumbe Key,8723851,24.8683,-80.7033,Subordinate
Florida Keys: Matecumbe Bight- Lower Matecumbe Key- Fla. Bay,8723852,24.865,-80.7167,Subordinate
Florida Keys: Matecumbe Harbor- Lower Matecumbe Key- Fla. Bay,8723862,24.8517,-80.74,Subordinate
Florida Keys: Channel Two- east- Lower Matecumbe Key- Fla. Bay,8723868,24.845,-80.7483,Subordinate
Florida Keys: Channel Two- west side- Hawk Channel,8723869,24.8417,-80.7533,Subordinate
Florida Keys: Channel Five- east side- Hawk Channel,8723874,24.8367,-80.7667,Subordinate
Florida Keys: Channel Five- west side- Hawk Channel,8723872,24.84,-80.78,Subordinate
Florida Keys: Jewfish Hole- Long Key- Florida Bay,8723873,24.8383,-80.7983,Subordinate
Florida Keys: Long Key Bight- Long Key,8723879,24.8283,-80.8083,Subordinate
Florida Keys: Long Key Lake- Long Key,8723887,24.82,-80.8167,Subordinate
Florida Keys: Long Key- western end,8723899,24.8033,-80.85,Subordinate
Florida Keys: Conch Key- eastern end,8723906,24.7917,-80.8833,Subordinate
Florida Keys: Toms Harbor Cut,8723912,24.7833,-80.9067,Subordinate
Florida Keys: Duck Key- Hawk Channel,8723927,24.765,-80.9133,Subordinate
Florida Keys: Toms Harbor Channel- Hwy. 1 bridge,8723918,24.7767,-80.9233,Subordinate
Florida Keys: Grassy Key- north side- Florida Bay,8723921,24.7717,-80.94,Subordinate
Florida Keys: Grassy Key- south side- Hawk Channel,8723933,24.755,-80.9583,Subordinate
Florida Keys: Fat Deer Key- Florida Bay,8723949,24.7333,-81.0167,Subordinate
Florida Keys: Vaca Key-Fat Deer Key bridge,8723950,24.73,-81.03,Subordinate
Florida Keys: Key Colony Beach,8723962,24.7183,-81.0167,Harmonic
Florida Keys: VACA KEY- USCG STATION- FLORIDA BAY,8723970,24.711,-81.1065,Harmonic
Florida Keys: Boot Key Harbor bridge- Boot Key,8723971,24.7033,-81.105,Subordinate
Florida Keys: Sombrero Key- Hawk Channel,8723999,24.6267,-81.1117,Subordinate
Florida Keys: Knight Key Channel- Knight Key- Florida Bay,8724008,24.7067,-81.125,Subordinate
Florida Keys: Pigeon Key- south side- Hawk Channel,8724032,24.7033,-81.155,Subordinate
Florida Keys: Pigeon Key- north side- Florida Bay,8724033,24.705,-81.1567,Subordinate
Florida Keys: Molasses Key Channel- Molasses Keys,8724062,24.6833,-81.1917,Subordinate
Florida Keys: Money Key,8724082,24.6833,-81.2167,Subordinate
Florida Keys: Little Duck Key- east end- Hawk Channel,8724093,24.6817,-81.2283,Subordinate
Florida Keys: East Bahia Honda Key- south end- Florida Bay,8724094,24.775,-81.2267,Subordinate
Florida Keys: Cocoanut Key- Florida Bay,8724098,24.745,-81.2367,Subordinate
Florida Keys: West Bahia Honda Key,8724129,24.78,-81.2717,Subordinate
Florida Keys: Horseshoe Keys- south end,8724139,24.7667,-81.2833,Subordinate
Florida Keys: Johnson Keys- south end,8724153,24.7433,-81.3,Subordinate
Florida Keys: Johnson Keys- north end,8724172,24.7667,-81.3233,Subordinate
Florida Keys: Missouri Key-Little Duck Key Channel,8724099,24.68,-81.235,Subordinate
Florida Keys: Missouri Key-Ohio Key Channel- west side,8724107,24.6733,-81.2433,Subordinate
Florida Keys: Ohio Key-Bahia Honda Key Channel- west side,8724112,24.67,-81.2517,Subordinate
Florida Keys: Bahia Honda Key- Bahia Honda Channel,8724138,24.655,-81.2817,Subordinate
Florida Keys: Big Pine Key- Spanish Harbor,8724178,24.6483,-81.33,Subordinate
Florida Keys: Big Pine Key- Doctors Arm- Bogie Channel,8724201,24.69,-81.3567,Subordinate
Florida Keys: Big Pine Key- Bogie Channel Bridge,8724193,24.6967,-81.3483,Subordinate
Florida Keys: No Name Key- east side- Bahia Honda Channel,8724168,24.6983,-81.3183,Subordinate
Florida Keys: Little Pine Key- south end,8724154,24.7133,-81.3033,Subordinate
Florida Keys: Porpoise Key- Big Spanish Channel,8724196,24.7183,-81.3517,Subordinate
Florida Keys: Water Key- west end- Big Spanish Channel,8724189,24.74,-81.3417,Subordinate
Florida Keys: Mayo Key- Big Spanish Channel,8724205,24.7333,-81.3617,Subordinate
Florida Keys: Little Pine Key- north end,8724177,24.75,-81.3283,Subordinate
Florida Keys: Big Pine Key- northeast shore,8724226,24.7283,-81.3867,Subordinate
Florida Keys: Crawl Key- Big Spanish Channel,8724199,24.7567,-81.3583,Subordinate
Florida Keys: Big Pine Key- north end,8724231,24.745,-81.395,Subordinate
Florida Keys: Annette Key- north end- Big Spanish Channel,8724229,24.7583,-81.39,Subordinate
Florida Keys: Little Spanish Key- Spanish Banks,8724209,24.7733,-81.3683,Subordinate
Florida Keys: Big Spanish Key,8724246,24.7883,-81.4117,Subordinate
Florida Keys: Munson Island- Newfound Harbor Channel,8724238,24.6233,-81.4033,Subordinate
